区域,名称,景点id,类型,级别,热度,地址,特色,经纬度
四川·成都·都江堰市,青城山,2833668773,文化古迹,5A景区,热度 0.96,四川省成都市都江堰市青城山路,青城山下白素贞，洞中千年修此身,"103.578829,30.903727"
湖北·武汉·武昌区,黄鹤楼,898602836,文化古迹,5A景区,热度 1.0,湖北省武汉市武昌区蛇山,孤帆远影碧空尽，唯见长江天际流,"114.309047,30.550272"
河南·郑州·嵩山,少林寺,2621763528,文化古迹,5A景区,热度 0.86,河南省郑州登封市西北13公里嵩山南麓,登顶中岳嵩山，一览天下胜景，领略禅宗教法,"112.948713,34.512389"
江西·鹰潭,龙虎山风景区,3661090256,文化古迹,5A景区,热度 0.7,江西省鹰潭市西南20公里处贵溪市境内,神秘的古越族文明，体验绝美的自然风光,"116.999461,28.090447"
江苏·无锡·滨湖区,灵山小镇拈花湾,521189061,文化古迹,,热度 0.0,江苏省无锡市滨湖区马山环山西路,东方禅意度假胜地，世界佛教论坛永久会址,"120.079209,31.419262"
山东·泰安·泰山区,泰山,1363641676,文化古迹,5A景区,热度 1.0,山东省泰安市泰山区红门路54号,会当凌绝顶，一览纵山小,"117.12107,36.247343"
北京·北京·延庆县,八达岭长城,777857128,文化古迹,5A景区,热度 0.82,北京市延庆县军都山关沟古道北口216省道附近,不到长城非好汉,"116.03293,40.369733"
北京·北京·西城区,恭王府,3070792170,文化古迹,5A景区,热度 0.74,北京市西城区什刹海前海西街17号,一起去看看和珅家,"116.393097,39.942341"
四川·乐山·峨眉山市,峨眉山,69638736,文化古迹,5A景区,热度 1.0,四川省乐山峨眉山市峨眉山风景名胜区,云上金顶，天下峨眉,"103.342036,29.522835"
江苏·苏州·吴江市,同里古镇,3696794349,文化古迹,5A景区,热度 0.8,江苏省苏州市吴江市同里镇,世界同里，东方小威尼斯,"120.725441,31.163773"
江苏·无锡·滨湖区,灵山大佛,1359778064,文化古迹,5A景区,热度 1.0,江苏省无锡市滨湖区灵山路1号,观释迦牟尼佛青铜立像，赏佛教胜景,"120.102895,31.436399"
江苏·苏州·金阊区,虎丘,1798026130,文化古迹,5A景区,热度 0.8,江苏省苏州市金阊区山塘街虎丘山门内8号,苏东坡说到苏州不游虎丘乃憾事也,"120.587069,31.341637"
浙江·嘉兴·桐乡市,乌镇,3413962493,文化古迹,5A景区,热度 1.0,浙江省嘉兴市桐乡市乌镇石佛南路18号,鱼米之乡，丝绸之府,"120.494465,30.754749"
四川·南充·阆中市,阆中古城,1511646521,文化古迹,5A景区,热度 1.0,四川省阆中市阆水中路33号,张飞镇守的风水古城,"105.977638,31.580898"
江苏·镇江·润州区,镇江金山,2378116228,文化古迹,5A景区,热度 0.0,江苏省镇江市润州区金山路62号,法海岂能懂爱，白娘娘大发雌威之地,"119.422532,32.225542"
四川·乐山·市中区,乐山大佛,3732199411,文化古迹,5A景区,热度 0.82,四川省乐山市市中区凌云路2435号簏子街,摩崖石刻造像,"103.779093,29.550402"
浙江·嘉兴·嘉善县,西塘古镇,3942761498,文化古迹,5A景区,热度 0.8400000000000001,浙江省嘉兴市嘉善县西塘镇,水墨西塘让你感受古镇千年的诗情画意,"120.89521,30.945875"
北京·北京·延庆县,八达岭古长城,3648853198,文化古迹,3A景区,热度 0.0,北京市延庆县八达岭镇东沟村,八达岭古长城杏花节'杏好有你'开幕啦,"115.994028,40.348353"
北京·北京·昌平区,明十三陵,2269763832,文化古迹,5A景区,热度 0.72,北京市昌平区十三陵特区,气势磅礴的陵寝建筑群,"116.234094,40.300017"
云南·丽江·古城区,丽江古城,1815236618,文化古迹,5A景区,热度 1.0,云南省丽江市玉龙纳西族自治县东大街1号,一座没有城墙的古城，依山傍水，风景秀丽,"100.240547,26.881159"
北京·北京·西城区,什刹海,2532223338,文化古迹,4A景区,热度 0.78,北京市西城区羊房胡同,老北京的温柔乡，北京签到地,"116.390595,39.949373"
贵州·黔东南·雷山县,西江千户苗寨,3561022923,文化古迹,4A景区,热度 1.0,贵州省凯里市黔东南苗族侗族自治州雷山县西江镇南贵村,游览千户苗寨，感受苗族风情,"108.18029,26.500009"
浙江·嘉兴·桐乡市,乌镇老邮局,1544445331,文化古迹,,热度 0.0,浙江省嘉兴市桐乡市乌镇西栅景区内,驿站内设有固定船户，负责传递官方文书。,"120.487982,30.756204"
江苏·苏州·昆山市,周庄,2834497097,文化古迹,5A景区,热度 0.9,江苏省苏州市昆山周庄全福路43号,古香古色，品美食寻才子觅佳人,"120.854425,31.120241"
贵州·贵阳·花溪区,青岩古镇,1308678621,文化古迹,5A景区,热度 0.82,贵阳市花溪区交通路240号,由土城而渐成街巷纵横错综之石城,"106.695326,26.339051"
安徽·池州·青阳县,九华山,489004853,文化古迹,5A景区,热度 1.0,安徽省池州市九华山镇二一九省道,神奇灵秀地，大愿九华山,"117.810454,30.488263"
河南·洛阳·洛龙区,龙门石窟,2713529684,文化古迹,5A景区,热度 1.0,河南省洛阳市洛龙区龙门中街13号,世界文化遗产 中国石刻艺术宝库,"112.479566,34.564212"
湖南·张家界·武陵源区,张家界国家森林公园,852581432,文化古迹,5A景区,热度 0.9400000000000001,湖南省张家界市武陵源区,三千奇峰，八百秀水,"110.459244,29.336908"
江西·吉安·井冈山市,井冈山,322229039,文化古迹,5A景区,热度 1.0,江西省吉安井冈山市茨坪镇,红根已深植，今日正繁荣,"114.172394,26.576456"
江苏·苏州·金阊区,寒山寺,891967151,文化古迹,4A景区,热度 0.8800000000000001,江苏省苏州市金阊区寒山寺弄24号,姑苏城外寒山寺，夜半钟声到客船,"120.574213,31.316189"
四川·成都·青羊区,成都杜甫草堂,956898870,文化古迹,4A景区,热度 0.86,四川省成都市青羊区青华路37号,成都地标签到处,"104.036061,30.666089"
广西·贺州·昭平县,黄姚古镇,3457869885,文化古迹,4A景区,热度 1.0,广西壮族自治区贺州市昭平县,诗境家园，电影《面纱》拍摄地,"111.209664,24.254288"
广西·桂林·象山区,象山景区,2898718562,文化古迹,5A景区,热度 0.7,广西壮族自治区桂林市民主路52号,桂林城徽，绝美赏月地领略三月争辉奇景,"110.302339,25.274549"
河南·洛阳·老城区,天堂明堂-隋唐洛阳城国家遗址公园,325171384,文化古迹,,热度 0.0,河南省洛阳市老城区中州中路与定鼎路交叉口处,展现无以伦比的富丽堂皇,"112.464474,34.686965"
湖南·岳阳·岳阳楼区,岳阳楼—君山岛景区,751669301,文化古迹,5A景区,热度 1.0,湖南省岳阳市岳阳楼区洞庭北路60号,未到江南先一笑，岳阳楼上对君山,"113.013372,29.3586"
广西·桂林·秀峰区,芦笛岩,1533968259,文化古迹,4A景区,热度 0.76,广西壮族自治区桂林市秀峰区芦笛路1号,大自然艺术之宫，接待300位国宾的溶洞,"110.279143,25.316464"
西藏·拉萨·城关区,布达拉宫,2306731853,文化古迹,5A景区,热度 1.0,西藏自治区拉萨市城关区北京中路35号,朝圣者的天堂,"91.125491,29.660076"
云南·大理·大理古城,崇圣寺三塔,3067239679,文化古迹,5A景区,热度 0.86,云南省大理市大理古城西北两公里的苍山应乐峰下,大理的标志和象征，来大理不可错过的地方哦,"100.149535,25.710163"
山东·济南·历下区,千佛山,3840604594,文化古迹,4A景区,热度 0.86,山东省济南市历下区经十一路18号,遥望齐州九点烟，一泓海水杯中泻,"117.041792,36.644733"
江苏·南京·钟山风景区,中山陵,1514814960,文化古迹,5A景区,热度 1.0,江苏省南京市玄武区石象路7号,建筑名家之杰作，有着极高的艺术价值,"118.860335,32.063934"
江西·九江·庐山区,庐山风景名胜区,2295597022,文化古迹,5A景区,热度 1.0,江西省九江市庐山区,匡庐奇秀甲天下,"116.001261,29.561078"
福建·南平·武夷山市,武夷山,4137698306,文化古迹,5A景区,热度 1.0,福建省南平市武夷山国家旅游度假区,满园春色尽在武夷风光,"117.992764,27.631146"
江西·南昌·东湖区,滕王阁,2301240201,文化古迹,5A景区,热度 1.0,江西省南昌市东湖区仿古街58号,落霞与孤鹜齐飞，秋水共长天一色,"115.888564,28.686101"
海南·三亚·崖州区,大小洞天,3748366838,文化古迹,5A景区,热度 0.78,海南省三亚市以西四十公里（崖城镇南山村）,具备山、海、天一色的道家文化景区,"109.186963,18.307148"
浙江·宁波·奉化市,溪口景区,218721653,文化古迹,5A景区,热度 0.9,浙江省宁波市奉化市溪口镇,寻找传奇色彩的小故事,"121.22742,29.687265"
上海·上海·青浦区,朱家角古镇,2012753547,文化古迹,4A景区,热度 0.72,上海市青浦区朱家角镇美周路36号,素有“上海威尼斯”及“沪郊好莱坞”之誉,"121.061605,31.116917"
江苏·扬州·维扬区,大明寺,2002297980,文化古迹,4A景区,热度 0.76,江苏省扬州市邗江区平山堂东路1号,历史文化内涵十分丰富的民族文化宝藏,"119.419311,32.425243"
云南·西双版纳·景洪市,景洪曼听公园,3601401562,文化古迹,4A景区,热度 0.86,云南省西双版纳傣族自治州景洪市曼听路35号,古老的傣王御花园,"100.814267,21.998503"
北京·北京·密云县,古北水镇,1433128305,文化古迹,,热度 0.0,北京市密云县古北口镇司马台村古北水镇,走进那个画中的小镇,"117.267356,40.650895"
山东·威海·环翠区,刘公岛,584168263,文化古迹,5A景区,热度 1.0,山东省威海市海滨北路101-2号,北洋水师的诞生地，甲午战争的古战场,"122.147601,37.499885"
北京·北京·怀柔区,慕田峪长城,1987315843,文化古迹,5A景区,热度 0.7,北京市怀柔区慕田峪村,电影《非诚勿扰》取景地,"116.57035,40.437612"
江苏·南京·秦淮区,夫子庙,2778205010,文化古迹,5A景区,热度 0.8800000000000001,江苏省南京市秦淮区龙蟠中路夫子庙,一条长江路，半部民国史,"118.795398,32.026977"
陕西·宝鸡·扶风县,法门寺,1305053654,文化古迹,5A景区,热度 1.0,陕西省宝鸡市扶风县城北10公里法门镇,释迦牟尼佛指舍利供奉圣地,"107.909964,34.430433"
江苏·苏州·常熟市,沙家浜,3969348563,文化古迹,5A景区,热度 0.72,江苏省苏州市常熟市阳澄湖畔,穿越历史的气质美,"120.807985,31.559447"
江苏·南京·秦淮区,大报恩寺遗址公园,528078619,文化古迹,,热度 0.0,江苏省南京市秦淮区雨花路正学路1号,长干里是江南佛教圣地素有“佛陀里”之美,"118.787634,32.015811"
福建·漳州·南靖土楼群,云水谣土楼群,4251373224,文化古迹,,热度 0.0,福建漳州南靖县云水谣古镇,幽长古道，百年老榕，神奇土楼，灵山碧水,"117.101623,24.662736"
浙江·嘉兴·乌镇,乌镇西栅,4085764381,文化古迹,,热度 0.0,浙江省嘉兴市桐乡市乌镇西大街,水乡风貌原汁原味，文化底蕴千年积淀,"120.493068,30.755595"
辽宁·大连,东方威尼斯水城,2192880205,文化古迹,,热度 0.0,辽宁省大连市东港商务区港浦路,以威尼斯为蓝本，在这里享受浪漫,"121.68456,38.927648"
山西·忻州·五台县,五台山,2869401961,文化古迹,5A景区,热度 1.0,山西省忻州市五台县台怀镇,兼有汉地和藏传佛教的佛教道场,"113.596375,38.984397"
江西·上饶·婺源县,婺源篁岭,2871359243,文化古迹,4A景区,热度 0.0,江西省上饶市婺源县江湾镇篁岭村,自游行的绝佳选择,"118.127595,29.339174"
山西·晋中·平遥县,平遥古城,3289429100,文化古迹,5A景区,热度 1.0,山西省晋中市平遥县,游览原汁原味古城，感受浓郁的晋商文化气息,"112.190081,37.21041"
云南·红河·建水县,朱家花园,1098554387,文化古迹,4A景区,热度 0.82,云南省红河州建水县翰林街16号,一组规模巨大的清代民居建筑群,"102.833826,23.622492"
上海·上海·黄浦区,城隍庙旅游区,2395325458,文化古迹,,热度 0.0,上海市黄浦区人民路、河南南路、上海老街、以及安仁路之间的区域,全面地领略到上海的历史文化和民俗风情,"121.499109,31.231135"
福建·厦门·思明区,胡里山炮台,3354922060,文化古迹,4A景区,热度 0.8400000000000001,福建省厦门市思明区曾厝垵路2号,八闽门户、天南锁钥,"118.113008,24.435089"
浙江·湖州·南浔区,南浔古镇,326929749,文化古迹,5A景区,热度 0.0,浙江省湖州市南浔区南浔镇人瑞路51号,水乡古镇九十九，不如南浔走一走,"120.435533,30.875529"
河北·石家庄·正定县,荣国府,1664758328,文化古迹,4A景区,热度 0.74,河北省石家庄市正定县兴荣路51号,走进荣国府，花开红楼梦,"114.585705,38.153502"
陕西·西安·新城区,大明宫国家遗址公园,2972581121,文化古迹,4A景区,热度 0.72,陕西省西安市新城区自强东路585号大明宫国家遗址公园丹凤门,唐代长安城禁苑,"108.968257,34.309657"
陕西·咸阳·乾县,乾陵,441556452,文化古迹,4A景区,热度 1.0,陕西省咸阳市乾县城北6公里梁山上,一代女皇圣地，千古盛唐乾陵,"108.226308,34.577233"
广西·桂林·秀峰区,独秀峰王城景区,1537503131,文化古迹,5A景区,热度 0.72,广西壮族自治区桂林市秀峰区王城路1号,明代王府清朝贡院所在地，阅尽王城知桂林,"110.305678,25.289462"
山西·晋中·灵石县,山西王家大院,2084299625,文化古迹,4A景区,热度 0.82,山西省晋中市灵石县静升镇静升村,汉族传统民俗文化建筑艺术的瑰宝,"111.881551,36.902417"
宁夏·银川·贺兰县,贺兰山岩画,3791448389,文化古迹,4A景区,热度 0.9,宁夏回族自治区银川市贺兰县贺兰山东麓贺兰口,刻在岩石上的金戈铁马,"106.032253,38.742232"
广西·桂林·秀峰区,桂林两江四湖景区,858225756,文化古迹,5A景区,热度 0.7,广西壮族自治区桂林市秀峰区滨江路12号,重现唐宋时尚的环游桂林线路，轻悠旅程时光,"110.298547,25.257801"
湖北·武汉·黄陂区,木兰清凉寨,2308364313,文化古迹,4A景区,热度 0.7,湖北省武汉市黄陂区蔡店乡,山依水活，水依山清，山水辉映，旅游胜境,"114.225206,31.298063"
北京·北京·西城区,德云社相声大会广德楼店,3630726808,文化古迹,,热度 0.0,北京市西城区前门大栅栏大街39号,赏德云社爆笑演出，High翻全场乐不停,"116.398268,39.900822"
浙江·金华·东阳市,横店影视城,3924856566,文化古迹,5A景区,热度 1.0,浙江省金华东阳市横店镇横店影视城,被誉为“中国好莱坞”,"120.345446,29.162213"
台湾·台北,台北故宫博物院,2673408340,文化古迹,,热度 1.0,台湾台北市士林区至善路二段221号,北京故宫看建筑，台北故宫看文物,"121.548493,25.10234"
山西·忻州·五台山,五爷庙,3193097288,文化古迹,,热度 0.0,山西省忻州市五台县五台山风景区,檐建繁复，在五台山殿建中别具一格,"113.60863542041,38.983173091396"
四川·成都·安仁古镇,刘氏庄园,3844377584,文化古迹,4A景区,热度 0.7,四川省成都市大邑县安仁镇金桂街15号,川西民俗传统文化大观园：建筑、馆藏、泥塑,"103.634052,30.510959"
河南·开封·鼓楼区,开封府,2504999724,文化古迹,4A景区,热度 0.96,河南省开封市包公东湖北岸,开封有个包青天，铁面无私辨忠奸,"114.353429,34.796032"
四川·绵阳·梓潼县,七曲山大庙,266299421,文化古迹,4A景区,热度 0.8800000000000001,四川省绵阳市梓潼县七曲山,山势雄奇，峰回路转，巍巍庙宇,"105.203606,31.700846"
湖北·荆门·钟祥市,明显陵,1442637637,文化古迹,4A景区,热度 0.8800000000000001,湖北省荆门钟祥市,规划布局与建筑手法具有其独特之处,"112.638341,31.209101"
山东·烟台·蓬莱市,蓬莱阁,3062441807,文化古迹,5A景区,热度 1.0,山东省烟台蓬莱市迎宾路7号,道教传说中著名的神仙住所和人间仙境,"120.760473,37.832144"
江苏·南京·钟山风景区,美龄宫,312585100,文化古迹,,热度 0.0,江苏省南京市玄武区钟山中山陵景区内,一幢中国宫殿式大屋顶建筑，富丽堂皇,"118.85242916555,32.052003575182"
山西·大同·南郊区,云冈石窟,3467256297,文化古迹,5A景区,热度 1.0,山西省大同市城西约16公里的武州山南麓,石头写成的千年史卷,"113.139454,40.117323"
河南·安阳·安阳县,殷墟,286886611,文化古迹,5A景区,热度 0.9400000000000001,河南省安阳市西北郊小屯村,商朝晚期都城遗址，甲骨文发掘地,"114.315893,36.148167"
广东·肇庆·星湖,鼎湖山,2446117003,文化古迹,4A景区,热度 0.86,广东省肇庆市鼎湖区上山路坑口镇,风光秀丽，具有浓郁江南诗情画意,"112.561202,23.165899"
天津·天津·和平区,静园-末代皇帝溥仪旧居,677294926,文化古迹,3A景区,热度 0.0,天津市和平区鞍山道70号,津城洋楼，醉美静园,"117.195893,39.128964"
重庆·重庆·武隆县,武隆天坑地缝国家地质公园,669575040,文化古迹,5A景区,热度 0.0,重庆市武隆县银杏大道武隆喀斯特旅游区,反映地球演化历史的杰出范例,"107.773314,29.423324"
海南·三亚·天涯区,天涯海角,2036617750,自然风光,4A景区,热度 0.9,海南省三亚市沿海滨西行26公里天涯镇马岭山麓,天之涯海之角，爱就陪Ta到天涯海角,"109.36116,18.298477"
江苏·扬州·邗江区,瘦西湖,328136322,自然风光,5A景区,热度 1.0,江苏省扬州市维扬区长春路118号,湖上园林的典型代表,"119.430517,32.419989"
安徽·芜湖·南陵县,马仁奇峰,3821817759,自然风光,4A景区,热度 0.76,安徽省芜湖市繁昌铜陵南陵三县交界处,体验式旅游精品景区,"118.174791,30.978893"
四川·阿坝藏族羌族自治州·理县,毕棚沟,256520090,自然风光,4A景区,热度 0.7,四川省阿坝州理县朴头乡朴头村88号,知名的红叶观赏圣地，成都西北伊甸园,"102.986326,31.406428"
海南·三亚·海棠区,蜈支洲岛,2298325421,自然风光,5A景区,热度 0.86,海南省三亚市林旺镇海棠湾蜈支洲岛,私人订制主取景地,"109.770938,18.319925"
浙江·舟山·普陀区,普陀山,606992388,自然风光,5A景区,热度 1.0,浙江省舟山市普陀区,海天佛国 观音道场 ——普陀山,"122.38611,29.98092"
安徽·黄山·黄山区,黄山风景区,3346106506,自然风光,5A景区,热度 1.0,安徽省黄山市黄山区黄山风景区,五岳归来不看山，黄山归来不看岳,"118.193977,30.097967"
湖南·张家界,张家界,355035620,自然风光,,热度 0.0,湖南省张家界市,湘鄂渝黔革命根据地的发源地和中心区域,"110.485702,29.122834"
陕西·渭南·华阴市,华山,3677297610,自然风光,5A景区,热度 1.0,陕西省渭南市华阴市境内,只有天在上，更无山与齐,"110.088712,34.532247"
福建·厦门·思明区,鼓浪屿,1708816601,自然风光,5A景区,热度 0.9800000000000001,福建省厦门市思明区鼓浪屿,琴之岛，乐之屿,"118.073486,24.452261"
四川·成都·都江堰市,青城山,2833668773,自然风光,5A景区,热度 0.96,四川省成都市都江堰市青城山路,青城山下白素贞，洞中千年修此身,"103.578829,30.903727"
海南·三亚·崖州区,南山文化旅游区,3982940253,自然风光,5A景区,热度 0.76,海南省三亚市崖城镇南山村,108米的海上三面观音，三亚不容错过之旅,"109.208867,18.296388"
安徽·黄山·黟县,木坑竹海,3389589446,自然风光,3A景区,热度 0.7,安徽省黄山市黟县宏村木坑,卧虎藏龙拍摄地，恰如世外桃源般令人神往,"118.03725,30.009298"
北京·北京·平谷区,平谷桃花海,358193740,自然风光,,热度 0.0,北京市平谷区挂甲峪村,京城四月，桃花纷飞,"117.112251,40.272483"
江西·鹰潭,龙虎山风景区,3661090256,自然风光,5A景区,热度 0.7,江西省鹰潭市西南20公里处贵溪市境内,神秘的古越族文明，体验绝美的自然风光,"116.999461,28.090447"
江苏·无锡·宜兴市,善卷洞,17849997,自然风光,4A景区,热度 0.74,江苏省无锡宜兴市张渚镇川善线善卷洞,是著名石灰岩溶洞，宜兴“三奇”之首,"119.680087,31.303594"
海南·海口·秀英区,火山口国家地质公园,274072164,自然风光,4A景区,热度 0.0,海南省海口市秀英区石山镇,世界地质公园，万年火山奇观,"110.225955,19.931249"
山东·泰安·泰山区,泰山,1363641676,自然风光,5A景区,热度 1.0,山东省泰安市泰山区红门路54号,会当凌绝顶，一览纵山小,"117.12107,36.247343"
江西·上饶·婺源风景区,婺源江岭（油菜花）,2869356061,自然风光,,热度 0.0,江西省上饶市婺源县溪头乡江岭梯田风光中心,梯田如链似带，高低错落，壮丽雄奇,"118.038311,29.46079"
四川·乐山·峨眉山市,峨眉山,69638736,自然风光,5A景区,热度 1.0,四川省乐山峨眉山市峨眉山风景名胜区,云上金顶，天下峨眉,"103.342036,29.522835"
海南·陵水,海南分界洲岛旅游区,1898636922,自然风光,5A景区,热度 1.0,海南省三亚市东北部分界洲岛,海水清澈，拥有众多珍稀动植物的“美女岛”,"110.206451,18.582197"
江苏·无锡·滨湖区,灵山大佛,1359778064,自然风光,5A景区,热度 1.0,江苏省无锡市滨湖区灵山路1号,观释迦牟尼佛青铜立像，赏佛教胜景,"120.102895,31.436399"
江苏·苏州·金阊区,虎丘,1798026130,自然风光,5A景区,热度 0.8,江苏省苏州市金阊区山塘街虎丘山门内8号,苏东坡说到苏州不游虎丘乃憾事也,"120.587069,31.341637"
江苏·镇江·润州区,镇江金山,2378116228,自然风光,5A景区,热度 0.0,江苏省镇江市润州区金山路62号,法海岂能懂爱，白娘娘大发雌威之地,"119.422532,32.225542"
北京·北京·西城区,什刹海,2532223338,自然风光,4A景区,热度 0.78,北京市西城区羊房胡同,老北京的温柔乡，北京签到地,"116.390595,39.949373"
湖南·张家界·永定区,天门山国家森林公园,3438058182,自然风光,5A景区,热度 0.82,湖南省张家界市永定区天门山索道站,穿越云霄的旅行,"110.482089,29.072408"
